song_title,musical,subsection,year,composer,lyricist,lexical_richness,lexical_density,most_used_words,go_neutral,go_approval,go_excitement,go_curiosity,go_joy,go_admiration,go_confusion,go_realization,go_optimism,go_caring,go_love,go_desire,go_annoyance,go_surprise,go_amusement,go_relief,go_disapproval,go_pride,go_anger,go_disappointment,go_fear,go_nervousness,go_disgust,go_gratitude,go_sadness,go_embarrassment,go_grief,go_remorse
Just Go to the Movies,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5121,0.4879,"movie, life, need, watch, high",0.3545,0.1654,0.0794,0.0175,0.2223,0.1986,0.0035,0.0059,0.0408,0.0559,0.0079,0.0081,0.0038,0.0017,0.0066,0.0095,0.0018,0.008,0.0008,0.0011,0.0008,0.0011,0.0005,0.0081,0.0012,0.0004,0.0006,0.0004
Famous Feet,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.4632,0.5037,"foot, famous, oh, grauman, footprint",0.4983,0.0256,0.0371,0.2509,0.0135,0.0269,0.0371,0.0268,0.0199,0.0043,0.2094,0.0198,0.0105,0.0163,0.0043,0.0008,0.0074,0.0004,0.0021,0.0049,0.0024,0.0015,0.0011,0.001,0.002,0.0007,0.0005,0.0007
I Love a Film Cliche,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5693,0.4336,"love, glad, mad, get, oh",0.1586,0.0506,0.0119,0.0734,0.0277,0.0457,0.0315,0.011,0.0055,0.0144,0.5083,0.0034,0.0656,0.0155,0.0032,0.0009,0.0517,0.0005,0.0087,0.0617,0.0038,0.0047,0.0123,0.0005,0.0302,0.0036,0.0011,0.0011
Nelson,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5236,0.412,"nelson, love, oh, put, film",0.3637,0.0216,0.0068,0.0059,0.0037,0.0307,0.0029,0.0239,0.0042,0.0107,0.2045,0.0068,0.0568,0.0968,0.002,0.0015,0.0209,0.0011,0.023,0.1342,0.0041,0.0023,0.0167,0.0009,0.1032,0.0032,0.0035,0.0023
The Best in the World,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.3991,0.4346,"good, papa, say, world, little",0.1402,0.1502,0.0265,0.0017,0.022,0.7144,0.0012,0.0131,0.0394,0.0234,0.0169,0.0068,0.0059,0.0023,0.0013,0.0037,0.0069,0.0094,0.0015,0.0287,0.0011,0.0007,0.0008,0.012,0.0124,0.0005,0.0014,0.0008
It All Comes Out of the Piano,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.375,0.4889,"piano, old, day, come, get",0.3225,0.0745,0.0506,0.0964,0.1004,0.1292,0.075,0.0089,0.0406,0.008,0.0564,0.0458,0.0186,0.0074,0.0044,0.0031,0.0306,0.0017,0.0032,0.0175,0.0018,0.0026,0.0017,0.0013,0.0026,0.001,0.0006,0.0006
Ain't We Got Fun,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.466,0.5157,"fun, get, be, dear, rich",0.3414,0.0197,0.0253,0.028,0.3232,0.0028,0.0215,0.0151,0.0067,0.0058,0.0023,0.003,0.0436,0.0033,0.1112,0.0064,0.0196,0.0008,0.0049,0.0351,0.0031,0.0087,0.004,0.0007,0.0269,0.0046,0.0012,0.0014
Too Marvelous for Words,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.3879,0.5603,"marvelous, word, tell, webster, dictionary",0.0269,0.0679,0.0076,0.002,0.0099,0.7585,0.0039,0.0069,0.0068,0.0026,0.4897,0.0023,0.0052,0.003,0.0015,0.0007,0.021,0.0021,0.002,0.0069,0.0006,0.0002,0.0015,0.0039,0.0013,0.0005,0.0003,0.0005
Japanese Sandman,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5816,0.4894,"old, day, japanese, sandman, second",0.7108,0.0398,0.0185,0.0447,0.019,0.0153,0.0075,0.0071,0.094,0.0259,0.0068,0.011,0.0027,0.002,0.0019,0.002,0.0014,0.0009,0.0007,0.0016,0.0012,0.0009,0.0006,0.0016,0.0019,0.0003,0.0005,0.0006
On the Good Ship Lollipop,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.6397,0.4559,"good, ship, lollipop, away, trip",0.1523,0.0569,0.1434,0.1146,0.3225,0.0531,0.0055,0.0088,0.0395,0.0258,0.0301,0.1643,0.006,0.0033,0.0083,0.0231,0.0031,0.0039,0.0017,0.0048,0.0015,0.0054,0.0011,0.0025,0.0117,0.0011,0.0017,0.0011
Louise,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.3494,0.4137,"little, louise, love, tell, feel",0.055,0.0433,0.0718,0.1461,0.0415,0.3322,0.015,0.0077,0.0141,0.0116,0.5664,0.0249,0.003,0.0264,0.0021,0.0012,0.0028,0.0017,0.0021,0.0036,0.0023,0.0015,0.0014,0.0032,0.0055,0.0006,0.0009,0.0014
Sleepy Time Gal,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.6108,0.4371,"sleepy, time, gal, home, little",0.6345,0.0559,0.0082,0.0032,0.0142,0.0165,0.0048,0.0314,0.0502,0.1128,0.2257,0.0127,0.0036,0.002,0.0035,0.0015,0.002,0.0009,0.0013,0.0025,0.0013,0.0009,0.001,0.0031,0.0021,0.0006,0.0006,0.0009
Beyond the Blue Horizon,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.2632,0.5132,"horizon, blue, wait, beautiful, day",0.0642,0.0323,0.1717,0.0015,0.6158,0.0317,0.0015,0.0096,0.0205,0.0142,0.0624,0.023,0.0031,0.0052,0.0027,0.02,0.002,0.0075,0.0012,0.0051,0.0032,0.0063,0.001,0.0073,0.0188,0.001,0.0027,0.0016
Thanks for the Memories,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.7778,0.4889,"thank, memory, toast, cruise, pajama",0.0088,0.0233,0.0057,0.0038,0.0091,0.0156,0.0049,0.0073,0.0044,0.0015,0.0553,0.0018,0.0027,0.0023,0.0073,0.0019,0.0018,0.0006,0.0011,0.0017,0.0005,0.0003,0.0012,0.9845,0.0022,0.0006,0.0005,0.0016
Doin' the Production Code,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.4644,0.4303,"production, apply, woman, code, hollywood",0.7329,0.0454,0.0024,0.0031,0.0018,0.0064,0.0085,0.0142,0.0031,0.0014,0.0009,0.0011,0.0295,0.0011,0.0051,0.0006,0.2385,0.0007,0.0054,0.0055,0.0007,0.0003,0.0032,0.0007,0.0013,0.0012,0.0003,0.0004
A Night in the Ukraine,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5232,0.4272,"night, ukraine, yes, come, picture",0.2289,0.0541,0.3389,0.0667,0.1228,0.1128,0.0069,0.0067,0.0069,0.0018,0.0097,0.0041,0.0047,0.0182,0.0821,0.0023,0.0021,0.0021,0.0017,0.0015,0.0012,0.0012,0.0012,0.0008,0.001,0.0007,0.0004,0.0003
Samovar the Lawyer,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5391,0.4259,"lawyer, samovar, hurrah, hello, ah",0.4111,0.0294,0.013,0.0583,0.0614,0.002,0.068,0.0217,0.0046,0.0019,0.0011,0.0017,0.0811,0.0128,0.2242,0.0022,0.1149,0.0009,0.0153,0.0236,0.0019,0.0021,0.0028,0.0007,0.0041,0.0043,0.0007,0.0007
Just Like That,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.4749,0.4315,"know, like, life, hello, look",0.1443,0.1371,0.02,0.0624,0.0366,0.1739,0.0285,0.0175,0.1142,0.049,0.1653,0.046,0.022,0.0051,0.0033,0.0039,0.0245,0.0026,0.0032,0.0988,0.0029,0.0066,0.0023,0.0012,0.1137,0.0022,0.0035,0.0032
Again,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.6,0.5059,"happen, life, time, hold, gain",0.5687,0.0879,0.0498,0.0031,0.0287,0.0881,0.0033,0.0152,0.0479,0.0103,0.0034,0.1066,0.0046,0.0026,0.0026,0.0036,0.0029,0.0052,0.001,0.0029,0.0012,0.0009,0.001,0.0043,0.0022,0.0006,0.0006,0.0005
Natasha,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5046,0.418,"natasha, love, money, oh, like",0.1091,0.0423,0.0234,0.0589,0.0184,0.0834,0.014,0.0048,0.0131,0.0222,0.7042,0.0858,0.0067,0.0039,0.0019,0.0007,0.0137,0.0006,0.0052,0.0043,0.0016,0.0012,0.0018,0.0013,0.0028,0.0006,0.0005,0.001
A Night in the Ukraine (Reprise),A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.6466,0.3621,"night, ukraine, yes, turn, ah",0.1675,0.2364,0.11,0.155,0.0534,0.1862,0.0159,0.0216,0.0095,0.0046,0.006,0.0032,0.0039,0.0173,0.0026,0.0062,0.0023,0.0103,0.0009,0.0027,0.0012,0.0017,0.0007,0.0024,0.0022,0.0006,0.0008,0.0004
In These Skies,Ace,Act Unknown,2006,Richard Oberacker,Robert Taylor and Richard Oberacker,0.4296,0.4296,"sky, free, like, go, oh",0.4629,0.0631,0.1748,0.0072,0.1377,0.0193,0.0028,0.018,0.0119,0.0049,0.0022,0.0104,0.0045,0.0504,0.0042,0.0085,0.0016,0.0041,0.0013,0.0025,0.009,0.0055,0.0014,0.0012,0.0028,0.001,0.0009,0.0005
Worthy,Ace,Act Unknown,2006,Richard Oberacker,Robert Taylor and Richard Oberacker,0.5301,0.4307,"want, like, worthy, stand, think",0.3032,0.0599,0.0089,0.0057,0.0056,0.0308,0.0139,0.0958,0.0344,0.0051,0.0044,0.4821,0.02,0.007,0.0018,0.002,0.0144,0.003,0.0032,0.0354,0.0017,0.0015,0.0044,0.0026,0.0078,0.0015,0.001,0.0015
Girl,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.7955,0.5455,"girl, anybody, go, listen, story",0.0905,0.0715,0.0041,0.3112,0.0074,0.031,0.032,0.0108,0.0128,0.1164,0.0625,0.0355,0.007,0.0019,0.0017,0.0032,0.0121,0.001,0.0043,0.032,0.0027,0.0051,0.0019,0.0021,0.2032,0.005,0.0079,0.3598
Helter Skelter,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2586,0.4009,"tell, helter, skelter, yeah, come",0.8316,0.0224,0.0068,0.0299,0.0037,0.0013,0.0115,0.0135,0.0043,0.0036,0.0445,0.0049,0.0292,0.0023,0.0028,0.0006,0.018,0.0003,0.0081,0.0045,0.0015,0.0008,0.0018,0.0005,0.0021,0.0009,0.0004,0.0004
Hold MeTight,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.225,0.5125,"tonight, hold, tight, love, feel",0.3543,0.0402,0.006,0.0029,0.0133,0.0067,0.0036,0.018,0.0127,0.053,0.6055,0.0313,0.0055,0.0019,0.0023,0.0014,0.0035,0.0007,0.003,0.0052,0.0019,0.0017,0.0019,0.0026,0.0137,0.0007,0.0013,0.0025
All My Loving,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2593,0.3778,"send, true, kiss, miss, away",0.0524,0.0606,0.0061,0.0032,0.0136,0.0146,0.0016,0.0049,0.2448,0.326,0.7041,0.1984,0.0053,0.0008,0.0016,0.0022,0.0054,0.0013,0.0045,0.0046,0.0023,0.0016,0.0019,0.0129,0.0088,0.0005,0.0018,0.0067
I Wanna Hold Your Hand,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3065,0.4355,"hold, hand, wanna, let, hide",0.192,0.0963,0.0184,0.0034,0.0497,0.016,0.0014,0.0055,0.0277,0.0217,0.4488,0.3231,0.0079,0.0008,0.0029,0.0014,0.0028,0.0012,0.0035,0.0032,0.001,0.0009,0.0019,0.0026,0.003,0.0004,0.0006,0.0012
With A Little Help From My Friends,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2744,0.3445,"little, help, friend, joe, anderson",0.5489,0.0516,0.0043,0.0988,0.0036,0.002,0.0187,0.0205,0.042,0.0298,0.0503,0.0711,0.0049,0.0016,0.002,0.0016,0.0037,0.0004,0.0016,0.0127,0.0028,0.0059,0.0012,0.0009,0.1372,0.0007,0.0039,0.0079
It Won't Be Long,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2874,0.3908,"will, long, come, home, till",0.3771,0.0883,0.0085,0.0022,0.1211,0.0038,0.003,0.0398,0.0402,0.0171,0.0111,0.0352,0.0105,0.0022,0.0112,0.013,0.007,0.0018,0.0016,0.0637,0.0021,0.0069,0.0014,0.0008,0.246,0.0014,0.0071,0.0032
I've Just Seen A Face,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3933,0.4,"mmm, fall, keep, yes, call",0.3877,0.0181,0.0126,0.0048,0.0062,0.0021,0.0043,0.0558,0.0113,0.0022,0.009,0.1659,0.0084,0.009,0.0026,0.0021,0.0031,0.0007,0.0014,0.1082,0.0043,0.007,0.0028,0.0006,0.2826,0.0032,0.0057,0.0058
Let It Be,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3186,0.3717,"let, yeah, word, wisdom, answer",0.4939,0.2262,0.0055,0.0032,0.0055,0.0227,0.0031,0.0165,0.0958,0.1128,0.0037,0.0671,0.0046,0.0014,0.0016,0.0053,0.0029,0.0023,0.001,0.0035,0.0013,0.0011,0.001,0.0076,0.0045,0.0006,0.0011,0.0013
Come Together,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.5125,0.5125,"get, come, got, right, joo",0.9246,0.0192,0.0039,0.0019,0.004,0.0083,0.0026,0.013,0.007,0.0063,0.0013,0.0039,0.0098,0.0014,0.0082,0.001,0.0035,0.0008,0.0018,0.0062,0.0016,0.0008,0.0021,0.001,0.0039,0.0009,0.0006,0.0007
Why Don't We Do It In The Road,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.1579,0.2737,"road, watch, update, february",0.4972,0.0082,0.0015,0.3312,0.0009,0.0009,0.3885,0.0142,0.0068,0.0016,0.0007,0.0014,0.0355,0.0062,0.0016,0.0002,0.0123,0.0001,0.0048,0.0088,0.0011,0.001,0.0013,0.0005,0.002,0.0015,0.0004,0.0006
If I Fell,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4711,0.3471,"love, fall, cause, oh, promise",0.0337,0.0669,0.0043,0.006,0.0078,0.0111,0.0047,0.0082,0.1899,0.1489,0.8087,0.2298,0.0084,0.0015,0.0016,0.002,0.0139,0.0011,0.0085,0.0314,0.0055,0.0045,0.0047,0.0068,0.098,0.0011,0.0046,0.0356
I Want You  She's So Heavy,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2069,0.4943,"want, bad, drive, heavy, mad",0.5069,0.0159,0.0198,0.0075,0.0074,0.0029,0.0042,0.0142,0.0077,0.0053,0.0455,0.3165,0.023,0.0026,0.0042,0.0009,0.0031,0.0006,0.0098,0.0073,0.0017,0.0015,0.0055,0.0018,0.0055,0.0009,0.0008,0.001
Dear Prudence,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3542,0.4028,"dear, prudence, round, will, come",0.069,0.0436,0.1588,0.2718,0.0364,0.5248,0.0161,0.0043,0.0202,0.0131,0.0298,0.011,0.0023,0.0162,0.0012,0.0018,0.0017,0.0023,0.0012,0.0013,0.0015,0.0013,0.0005,0.0035,0.0016,0.0003,0.0007,0.0004
Flying,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,1.0,0.75,"instrumental, update, february",0.9186,0.0156,0.0122,0.0033,0.0072,0.001,0.0055,0.0338,0.0091,0.0011,0.0013,0.0041,0.0037,0.0042,0.0038,0.0015,0.0013,0.0007,0.0008,0.0036,0.0019,0.0013,0.0013,0.0039,0.0031,0.001,0.0007,0.0009
Blue Jay Way,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3229,0.3438,"long, asleep, lose, way, soon",0.6135,0.0126,0.0016,0.0057,0.0015,0.0008,0.0056,0.009,0.0098,0.0187,0.0025,0.2261,0.025,0.0008,0.0011,0.0011,0.0427,0.0003,0.0037,0.0314,0.0024,0.0034,0.0026,0.0006,0.0356,0.0009,0.0013,0.0029
I Am The Walrus,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4084,0.3955,"goo, choo, pa, gajoo, eggman",0.3386,0.0709,0.0058,0.0215,0.0108,0.0064,0.005,0.0186,0.0058,0.0044,0.195,0.0065,0.0414,0.0046,0.0097,0.0014,0.0035,0.0006,0.0115,0.0396,0.0039,0.0042,0.0081,0.0027,0.3084,0.0034,0.0091,0.0028
Being for the Benefit of Mr. Kite!,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.6187,0.3885,"kite, tonight, hendersons, late, horse",0.6214,0.0615,0.2075,0.0034,0.047,0.0505,0.0015,0.0046,0.0182,0.0016,0.0023,0.0061,0.0024,0.0038,0.0079,0.0015,0.0012,0.0029,0.0008,0.0012,0.001,0.0006,0.0008,0.0019,0.0007,0.0004,0.0003,0.0002
Because,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4219,0.3594,"ah, love, world, round, wind",0.0684,0.0346,0.019,0.0033,0.0624,0.0132,0.003,0.03,0.0093,0.0103,0.9153,0.0194,0.007,0.011,0.0052,0.0032,0.0031,0.0016,0.0037,0.0177,0.0032,0.0045,0.0024,0.0017,0.0917,0.0014,0.0048,0.0031
Something,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3692,0.3692,"know, way, want, leave, believe",0.2523,0.248,0.0035,0.006,0.0029,0.0492,0.0474,0.0239,0.0935,0.0265,0.2905,0.0513,0.0088,0.001,0.0002,0.0014,0.0499,0.0018,0.0032,0.0115,0.0024,0.0018,0.0012,0.0011,0.0031,0.0005,0.0007,0.0018
"Oh, Darling",Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2038,0.3577,"sadie, jojo, tell, oh, need",0.215,0.015,0.0028,0.024,0.0048,0.0033,0.0219,0.0251,0.0106,0.0337,0.0135,0.0095,0.0127,0.013,0.003,0.0036,0.0078,0.0008,0.0046,0.0952,0.0229,0.0214,0.0042,0.0013,0.6989,0.0032,0.0291,0.0114
Strawberry Fields,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3778,0.3407,"strawberry, fields, forever, let, go",0.4473,0.1202,0.005,0.0013,0.0316,0.0034,0.0067,0.023,0.0087,0.0091,0.0018,0.006,0.0501,0.0011,0.0025,0.0054,0.4173,0.002,0.0056,0.0172,0.0008,0.001,0.0022,0.0007,0.0036,0.0012,0.0005,0.0005
Revolution,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.3681,0.4514,"alright, know, ya, go, to",0.8161,0.0572,0.0014,0.0351,0.001,0.001,0.0152,0.0099,0.0172,0.0039,0.0006,0.0051,0.0333,0.0012,0.0031,0.0003,0.0083,0.0001,0.0033,0.0039,0.0006,0.0004,0.0011,0.0001,0.0008,0.0004,0.0002,0.0002
While My Guitar Gently Weeps,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4097,0.375,"oh, yeah, guitar, gently, weep",0.1237,0.0149,0.0022,0.0297,0.0046,0.0022,0.5429,0.0705,0.006,0.0079,0.0725,0.0045,0.0207,0.0094,0.0028,0.0025,0.0131,0.0007,0.0049,0.1335,0.0117,0.0322,0.0043,0.002,0.255,0.0139,0.0091,0.0466
Across the Universe,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4403,0.434,"go, to, change, world, jai",0.3107,0.0372,0.0047,0.0052,0.1851,0.0013,0.0115,0.036,0.1296,0.0184,0.0031,0.015,0.0231,0.0033,0.0047,0.0137,0.019,0.0012,0.0039,0.0503,0.0138,0.0114,0.0016,0.0008,0.1171,0.0017,0.0034,0.0023
Helter Skelter (Reprise),Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2586,0.4009,"tell, helter, skelter, yeah, come",0.8316,0.0224,0.0068,0.0299,0.0037,0.0013,0.0115,0.0135,0.0043,0.0036,0.0445,0.0049,0.0292,0.0023,0.0028,0.0006,0.018,0.0003,0.0081,0.0045,0.0015,0.0008,0.0018,0.0005,0.0021,0.0009,0.0004,0.0004
And I Love Her,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4245,0.3868,"love, die, bring, bright, star",0.019,0.0265,0.0065,0.0027,0.0134,0.0261,0.0031,0.0071,0.0222,0.0144,0.9586,0.016,0.0044,0.0025,0.003,0.0006,0.0037,0.0006,0.0042,0.0031,0.0015,0.0009,0.002,0.0077,0.0034,0.0005,0.0006,0.0015
Happiness Is A Warm Gun,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.4272,0.4175,"gun, mother, superior, jump, warm",0.5799,0.1107,0.1313,0.0163,0.1996,0.0146,0.004,0.0086,0.0041,0.005,0.01,0.0027,0.0071,0.0036,0.0058,0.0041,0.0035,0.0018,0.0018,0.0024,0.001,0.0013,0.001,0.0008,0.0018,0.0005,0.0004,0.0003
A Day in the Life,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,1.0,0.75,"instrumental, update, february",0.9186,0.0156,0.0122,0.0033,0.0072,0.001,0.0055,0.0338,0.0091,0.0011,0.0013,0.0041,0.0037,0.0042,0.0038,0.0015,0.0013,0.0007,0.0008,0.0036,0.0019,0.0013,0.0013,0.0039,0.0031,0.001,0.0007,0.0009
Blackbird,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2913,0.4803,"blackbird, fly, night, wait, moment",0.9621,0.017,0.0043,0.0014,0.0049,0.0037,0.0014,0.0072,0.0033,0.0036,0.0023,0.0029,0.0052,0.001,0.0023,0.0007,0.0014,0.0006,0.0017,0.0024,0.0015,0.0006,0.0014,0.001,0.0023,0.0006,0.0005,0.0005
Hey Jude,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.2756,0.3067,"na, hey, jude, well, let",0.4977,0.0557,0.0596,0.0036,0.0174,0.0083,0.0023,0.0084,0.0278,0.2987,0.0114,0.0042,0.0243,0.0045,0.0048,0.0038,0.0052,0.0014,0.0043,0.0036,0.0088,0.0068,0.0017,0.0017,0.0123,0.0008,0.0019,0.002
Don't Let Me Down,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.236,0.2857,"let, love, oh, like, ooh",0.3218,0.0303,0.0043,0.0025,0.0075,0.0025,0.0058,0.0244,0.0055,0.0967,0.3891,0.0066,0.0385,0.0052,0.0021,0.0021,0.1729,0.0008,0.0468,0.0318,0.0047,0.0037,0.0041,0.0011,0.0336,0.0027,0.0024,0.0033
All You Need Is Love,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.1535,0.3444,"love, need, yeah, easy, sing",0.1706,0.1729,0.0041,0.0031,0.0072,0.0107,0.0023,0.0086,0.0357,0.2298,0.617,0.0232,0.0078,0.0008,0.0013,0.0024,0.0103,0.001,0.0056,0.0028,0.0013,0.0011,0.0016,0.0045,0.0038,0.0005,0.0009,0.0025
Lucy In The Sky With Diamonds,Across the Universe,Act Unknown,2007,Elliot Goldenthal,Unknown,0.5849,0.4654,"sky, girl, eye, refrain, lucy",0.9267,0.0121,0.0092,0.0021,0.0124,0.0021,0.0043,0.0251,0.0056,0.0015,0.001,0.0022,0.0093,0.0072,0.0057,0.0014,0.002,0.001,0.002,0.0072,0.0038,0.0016,0.0019,0.0009,0.0059,0.0015,0.0011,0.0006
It's The Strangest Thing,"Act, The",Act 1,1977,John Kander,Fred Ebb,0.3452,0.3452,"strange, thing, know, room, door",0.1621,0.0237,0.0711,0.3348,0.0095,0.0084,0.0832,0.0354,0.0163,0.0014,0.0031,0.0036,0.0054,0.416,0.0093,0.0012,0.0023,0.0005,0.0015,0.0033,0.0037,0.0024,0.0026,0.0013,0.0016,0.002,0.0009,0.0005
Bobo's,"Act, The",Act 1,1977,John Kander,Fred Ebb,0.4396,0.3622,"bobo, ha, neon, sign, keeps",0.5809,0.0545,0.0035,0.0029,0.036,0.0064,0.0032,0.0094,0.0071,0.0032,0.1231,0.0024,0.0123,0.0012,0.1686,0.0012,0.014,0.0005,0.0028,0.0259,0.0017,0.0013,0.0017,0.0006,0.0491,0.0012,0.0014,0.0013
Turning,"Act, The",Act 1,1977,John Kander,Fred Ebb,0.268,0.392,"liza, chorus, turning, gift, turn",0.6584,0.0282,0.1528,0.0058,0.1325,0.0113,0.0029,0.0081,0.0033,0.0014,0.0057,0.002,0.0039,0.0108,0.0238,0.0019,0.0011,0.0015,0.0014,0.0016,0.0015,0.0009,0.0013,0.0012,0.0012,0.0009,0.0005,0.0003
Little Do They Know,"Act, The",Act 1,1977,John Kander,Fred Ebb,0.4444,0.4222,"chorus, girl, ah, men, gypsy",0.7342,0.0182,0.0248,0.0043,0.0055,0.003,0.0033,0.0123,0.0807,0.0016,0.0011,0.0306,0.0608,0.005,0.0057,0.0007,0.0058,0.0006,0.0144,0.0098,0.0051,0.0012,0.0288,0.0007,0.0038,0.0041,0.0006,0.0004
Arthur In The Afternoon,"Act, The",Act 1,1977,John Kander,Fred Ebb,0.4701,0.4026,"arthur, afternoon, get, quarter, change",0.4841,0.0851,0.039,0.0512,0.0605,0.0085,0.0052,0.0515,0.0113,0.0109,0.0939,0.008,0.0102,0.0261,0.0029,0.0391,0.0094,0.0045,0.0019,0.03,0.0051,0.0106,0.0017,0.0015,0.0479,0.0019,0.0033,0.0023
The Money Tree,"Act, The",Act 1,1977,John Kander,Fred Ebb,0.3825,0.4562,"come, day, money, tree, yeah",0.6694,0.0589,0.0071,0.0017,0.0092,0.0023,0.0017,0.0191,0.0931,0.0176,0.0307,0.1001,0.0063,0.0017,0.0017,0.0021,0.0042,0.0012,0.0016,0.0102,0.0015,0.001,0.0011,0.001,0.0112,0.0007,0.0011,0.0057
City Lights,"Act, The",Act 2,1977,John Kander,Fred Ebb,0.4815,0.5767,"light, city, pretty, let, little",0.1019,0.091,0.0304,0.0096,0.0586,0.1432,0.0055,0.009,0.0092,0.0063,0.5486,0.0975,0.0138,0.0046,0.0021,0.0034,0.0093,0.0056,0.0056,0.0665,0.0014,0.0033,0.0031,0.003,0.0647,0.0012,0.002,0.0027
There When I Need Him,"Act, The",Act 2,1977,John Kander,Fred Ebb,0.4412,0.4,"need, love, matter, hold, lean",0.52,0.08,0.003,0.0192,0.005,0.0039,0.0486,0.0192,0.0137,0.0121,0.3115,0.0161,0.0067,0.0018,0.0022,0.0013,0.0037,0.0006,0.0018,0.0092,0.0016,0.0012,0.0016,0.0019,0.0099,0.0008,0.0009,0.0017
